date,open,high,low,close,volume
2018-02-25,17376.0,17655.0,17202.0,17588.0,2509444
2018-02-26,17588.0,17750.0,17579.0,17681.0,708539
2018-02-27,17681.0,17890.0,17700.0,17829.0,669051
2018-02-28,17829.0,18198.0,17895.0,18113.0,741563
2018-03-03,18113.0,18050.0,17300.0,17451.0,593170
2018-03-04,17451.0,17400.0,16960.0,17135.0,442099
2018-03-05,17135.0,17344.0,17002.0,17139.0,253665
2018-03-06,17139.0,17390.0,17123.0,17154.0,454421
2018-03-07,17154.0,17300.0,17051.0,17140.0,177401
2018-03-10,17140.0,17260.0,17000.0,17073.0,548457
2018-03-11,17073.0,17222.0,17000.0,17102.0,543070
2018-03-12,17102.0,17178.0,17000.0,17136.0,824564
2018-03-13,17136.0,17198.0,17000.0,17020.0,2790517
2018-03-14,17020.0,17193.0,17007.0,17089.0,400183
2018-03-17,17089.0,17640.0,17100.0,17371.0,4273645
2018-03-18,17371.0,17990.0,17510.0,17755.0,491128
2018-03-19,17755.0,18150.0,17800.0,17965.0,490173
2018-03-25,17965.0,18500.0,18400.0,18370.0,471454
2018-03-26,18370.0,18750.0,18465.0,18683.0,886622
2018-03-27,18683.0,18830.0,18600.0,18793.0,595624
2018-03-28,18793.0,18888.0,17890.0,18578.0,891994
2018-04-03,18578.0,18771.0,18510.0,18671.0,345738
2018-04-04,18671.0,18890.0,18696.0,18708.0,272098
2018-04-07,18708.0,18800.0,18510.0,18656.0,426949
2018-04-08,18656.0,18560.0,17888.0,18220.0,545677
2018-04-09,18220.0,18190.0,17982.0,18020.0,1008641
2018-04-10,18020.0,18149.0,18000.0,18047.0,367677
2018-04-11,18047.0,18200.0,17900.0,18030.0,439978
2018-04-15,18030.0,18299.0,17900.0,18027.0,213234
2018-04-16,18027.0,18200.0,17800.0,17979.0,292172
2018-04-17,17979.0,18190.0,17804.0,17948.0,224082
2018-04-18,17948.0,17968.0,17809.0,17935.0,351613
2018-04-21,17935.0,18000.0,17800.0,17932.0,209629
2018-04-22,17932.0,17990.0,17123.0,17624.0,348823
2018-04-23,17624.0,17400.0,17010.0,17403.0,271573
2018-04-24,17403.0,17100.0,17000.0,17205.0,291041
2018-04-25,17205.0,17290.0,16745.0,16956.0,364720
2018-04-28,16956.0,16770.0,16109.0,16471.0,557073
2018-04-29,16471.0,16299.0,15711.0,15908.0,872171
2018-04-30,15908.0,16703.0,15950.0,16634.0,1352555
2018-05-01,16634.0,17380.0,16900.0,17097.0,658585
2018-05-05,17097.0,17449.0,16900.0,17111.0,878961
2018-05-06,17111.0,17299.0,16930.0,17106.0,536437
2018-05-07,17106.0,17230.0,16980.0,17146.0,6795733
2018-05-08,17146.0,17288.0,17053.0,17201.0,466159
2018-05-09,17201.0,17440.0,17150.0,17239.0,406522
2018-05-12,17239.0,17400.0,17200.0,17260.0,494578
2018-05-13,17260.0,17400.0,17170.0,17272.0,514257
2018-05-14,17272.0,17410.0,17187.0,17304.0,1034048
2018-05-15,17304.0,17410.0,17270.0,17349.0,392872
2018-05-16,17349.0,17500.0,16909.0,17071.0,4104429
2018-05-19,17071.0,17499.0,17105.0,17304.0,825389
2018-05-20,17304.0,17680.0,17400.0,17610.0,2844700
2018-05-21,17610.0,17900.0,17457.0,17726.0,1108418
2018-05-22,17726.0,17800.0,17650.0,17697.0,2197450
2018-05-23,17697.0,18000.0,17660.0,17801.0,891155
2018-06-10,17211.0,17350.0,17200.0,17217.0,1366721
2018-06-11,17217.0,17398.0,17182.0,17263.0,1336299
2018-06-12,17263.0,17425.0,17190.0,17288.0,1153874
2018-06-13,17288.0,17411.0,17271.0,17313.0,716442
2018-06-17,17313.0,17490.0,17270.0,17341.0,907094
2018-06-18,17341.0,17450.0,17280.0,17361.0,1661657
2018-06-19,17361.0,17415.0,17290.0,17368.0,2419108
2018-06-20,17368.0,18236.0,17360.0,18127.0,2525964
2018-06-23,18127.0,18999.0,18300.0,18418.0,422540
2018-06-24,18418.0,18600.0,18200.0,18330.0,660912
2018-06-25,18330.0,18398.0,18150.0,18274.0,1426678
2018-06-26,18274.0,18342.0,17649.0,17988.0,918231
2018-06-27,17988.0,18090.0,17730.0,17895.0,504876
2018-06-30,17895.0,17949.0,17601.0,17772.0,848780
2018-07-01,17772.0,18000.0,17670.0,17797.0,782194
2018-07-02,17797.0,18050.0,17680.0,17982.0,2842264
2018-07-03,17982.0,17982.0,17700.0,17907.0,211802
2018-07-04,17907.0,17915.0,17400.0,17772.0,521408
2018-07-07,17772.0,17906.0,17238.0,17660.0,162035
2018-07-08,17660.0,17660.0,17022.0,17208.0,1068723
2018-07-10,17208.0,17208.0,16400.0,16674.0,846143
2018-07-11,16674.0,16590.0,15901.0,16093.0,486325
2018-07-14,16093.0,16270.0,15992.0,16083.0,280962
2018-07-15,16083.0,16149.0,15991.0,16056.0,227204
2018-07-16,16056.0,16048.0,15890.0,16014.0,221407
2018-07-17,16014.0,16228.0,15800.0,15981.0,237790
2018-07-18,15981.0,16177.0,15630.0,15854.0,314587
2018-07-21,15854.0,16000.0,15740.0,15848.0,208140
2018-07-22,15848.0,16090.0,15555.0,15788.0,306066
2018-07-23,15788.0,15770.0,14999.0,15054.0,890748
2018-07-24,15054.0,15040.0,14302.0,14493.0,566515
2018-07-25,14493.0,15200.0,13769.0,13965.0,2969090
2018-07-28,13965.0,14663.0,14663.0,14566.0,616665
2018-07-29,14566.0,15150.0,14600.0,14954.0,3400064
2018-07-30,14954.0,14969.0,14207.0,14437.0,699221
2018-07-31,14437.0,14990.0,13800.0,14580.0,892433
2018-08-01,14580.0,15000.0,14100.0,14514.0,636366
2018-08-04,14514.0,14510.0,13901.0,14246.0,369383
2018-08-05,14246.0,14250.0,13950.0,14100.0,475516
2018-08-06,14100.0,14084.0,13395.0,13470.0,1537693
2018-08-07,13470.0,13390.0,12800.0,13134.0,643316
2018-08-08,13134.0,13790.0,13400.0,13632.0,590988
2018-08-11,13632.0,14310.0,13885.0,14116.0,1076102
2018-08-12,14116.0,14280.0,13901.0,14090.0,259577
2018-08-13,14090.0,14177.0,13851.0,14034.0,247653
2018-08-14,14034.0,14034.0,13700.0,13896.0,365758
2018-08-15,13896.0,13799.0,13400.0,13694.0,380298
2018-08-18,13694.0,14200.0,13300.0,13789.0,620169
2018-08-19,13789.0,14085.0,13805.0,13841.0,351460
2018-08-20,13841.0,14100.0,13889.0,13937.0,548745
2018-08-21,13937.0,14145.0,13748.0,13911.0,258197
2018-08-25,13911.0,14000.0,13440.0,13764.0,483115
2018-08-26,13764.0,13950.0,13400.0,13613.0,466003
2018-08-27,13613.0,13710.0,13400.0,13521.0,636927
2018-08-28,13521.0,13710.0,13510.0,13548.0,308879
2018-08-29,13548.0,13835.0,13445.0,13575.0,309687
2018-09-01,13575.0,13698.0,13550.0,13599.0,349180
2018-09-02,13599.0,13720.0,13562.0,13629.0,454813
2018-09-03,13629.0,13760.0,13500.0,13633.0,505398
2018-09-04,13633.0,13748.0,13550.0,13639.0,516191
2018-09-05,13639.0,14200.0,13660.0,14106.0,1010047
2018-09-08,14106.0,14260.0,13982.0,14134.0,982285
2018-09-09,14134.0,14799.0,14200.0,14455.0,991937
2018-09-10,14455.0,15177.0,14750.0,15125.0,1489432
2018-09-11,15125.0,15800.0,14369.0,14805.0,1226881
2018-09-12,14805.0,14700.0,14450.0,14543.0,1404922
2018-09-15,14543.0,15270.0,14490.0,15080.0,2584694
2018-09-16,15080.0,15650.0,14600.0,14960.0,588992
2018-09-17,14960.0,15199.0,14694.0,14989.0,773895
2018-09-18,14989.0,14989.0,14601.0,14842.0,490287
2018-09-22,14842.0,15150.0,14760.0,15034.0,2069503
2018-09-23,15034.0,15785.0,15161.0,15647.0,2811296
